,molecule_chembl_id,IC50,units,smiles
72,CHEMBL585315,13.0,nM,CC(C)(C)c1ccc(Cc2cc3c(cc2Cl)CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1
73,CHEMBL565781,0.3,nM,OC[C@H]1O[C@]2(OCc3cc(Cl)c(Cc4ccc(OC(F)(F)F)cc4)cc32)[C@H](O)[C@@H](O)[C@@H]1O
74,CHEMBL584689,8.6,nM,CCc1ccc(Cc2cc3c(cc2F)CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1
75,CHEMBL566017,68.0,nM,CCOc1ccc(Cc2cc3c(cc2Cl)CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cl
76,CHEMBL565391,100.0,nM,Cc1cc(F)ccc1Cc1cc2c(cc1Cl)CO[C@]21O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
77,CHEMBL566019,1000.0,nM,CCOc1cc(F)ccc1Cc1cc2c(cc1Cl)CO[C@]21O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
78,CHEMBL565377,0.8,nM,Cc1cccc(Cc2cc3c(cc2Cl)CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1F
79,CHEMBL566622,10.0,nM,COc1c(C)cccc1Cc1cc2c(cc1Cl)CO[C@]21O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
80,CHEMBL567474,3.8,nM,CCc1ccc(Cc2c(Cl)ccc3c2CO[C@]32O[C@H](CF)[C@@H](O)[C@H](O)[C@H]2O)cc1
81,CHEMBL585482,5.8,nM,CCc1ccc(Cc2c(Cl)ccc3c2CO[C@]32O[C@H](COC)[C@@H](O)[C@H](O)[C@H]2O)cc1
82,CHEMBL566018,70.0,nM,CCc1ccc(Cc2c(Cl)ccc3c2CO[C@]32O[C@H](COCC(F)(F)F)[C@@H](O)[C@H](O)[C@H]2O)cc1
83,CHEMBL565786,43.0,nM,CCc1ccc(Cc2c(Cl)ccc3c2CO[C@]32O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@H]2O)cc1
84,CHEMBL565376,10.0,nM,CCc1ccc(Cc2c(Cl)ccc3c2CO[C@]32O[C@H](CN=[N+]=[N-])[C@@H](O)[C@H](O)[C@H]2O)cc1
85,CHEMBL566413,100.0,nM,CCc1ccc(Cc2c(Cl)ccc3c2CO[C@]32O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)cc1
86,CHEMBL567058,22.0,nM,CCc1ccc(C(=O)c2c(Cl)ccc3c2CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1
87,CHEMBL567067,7.0,nM,CCc1ccc(C(F)(F)c2c(Cl)ccc3c2CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1
88,CHEMBL566224,1.3,nM,CCc1ccc(C2(c3c(Cl)ccc4c3CO[C@]43O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC2)cc1
89,CHEMBL569434,25.0,nM,CCOc1ccc(Cc2cc([C@@H]3OC(OC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1
90,CHEMBL567372,280.0,nM,CCOc1ccc(Cc2cc([C@@H]3OC(O)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1
91,CHEMBL583016,590.0,nM,CCOc1ccc(Cc2cc([C@]3(C)OC(OC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1
92,CHEMBL566940,600.0,nM,CCOc1ccc(Cc2cc([C@@H]3OC(OC)[C@H](F)[C@H](O)[C@H]3O)ccc2Cl)cc1
93,CHEMBL567954,3600.0,nM,CCOc1ccc(Cc2cc([C@@H]3OC(OCCN(C)C)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1
94,CHEMBL567778,620.0,nM,CCOc1ccc(Cc2cc([C@@H]3OC(OCc4ccccc4)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1
95,CHEMBL569903,36.0,nM,CCOc1ccc(Cc2cc([C@@H]3OC(OCCO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1
96,CHEMBL568609,740.0,nM,COC1O[C@@H](c2ccc(Cl)c(Cc3ccc(OC(=S)N(C)C)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O
97,CHEMBL566076,150.0,nM,COC1O[C@@H](c2ccc(Cl)c(Cc3ccc(Oc4nccs4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O
98,CHEMBL566484,170.0,nM,COC1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCN(C)C4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O
99,CHEMBL567953,45.0,nM,COCCOc1ccc(Cc2cc([C@@H]3OC(OC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1
100,CHEMBL567743,36.0,nM,COC1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCCO)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O
101,CHEMBL568164,32.0,nM,COC1O[C@@H](c2ccc(Cl)c(Cc3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O
102,CHEMBL567777,4600.0,nM,CCOc1ccc(-c2cccc([C@@H]3OC(OC)[C@@H](O)[C@H](O)[C@H]3O)c2)cc1
103,CHEMBL567572,100.0,nM,CCOc1ccc(C(=O)c2cc([C@@H]3O[C@@H](OC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1
104,CHEMBL567373,2400.0,nM,CCOc1ccc(Oc2cc([C@@H]3OC(OC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1
105,CHEMBL577519,180.0,nM,COc1ccc(Sc2cc([C@@H]3OC(OC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1
106,CHEMBL568398,1100.0,nM,CCOc1ccc(Cc2cccc([C@@H]3OC(OC)[C@@H](O)[C@H](O)[C@H]3O)c2)cc1
107,CHEMBL585703,55.0,nM,CCOc1ccc(Cc2cc([C@@H]3OC(OC)[C@@H](O)[C@H](O)[C@H]3O)ccc2C)cc1
108,CHEMBL566471,58.0,nM,CCOc1ccc(Cc2cc([C@@H]3OC(OCC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1
109,CHEMBL585876,420.0,nM,CCOc1ccc(Cc2cc([C@@H]3OC(OC(C)C)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1
110,CHEMBL592477,40000.0,nM,C/C=C1/CN2[C@@H]3C[C@@]45c6ccccc6N[C@]4(O3)[C@@H]2C[C@@H]1[C@@]5(COC(=O)c1ccc(OC)c(OC)c1)C(=O)OC
111,CHEMBL592521,40000.0,nM,C/C=C1/CN2[C@@H]3C[C@@]45c6cc(OC)ccc6N[C@]4(O3)[C@@H]2C[C@@H]1[C@@]5(COC(=O)c1cc(OC)c(OC)c(OC)c1)C(=O)OC
112,CHEMBL592589,35000.0,nM,C/C=C1\CN2[C@@H]3C[C@@]45c6ccccc6N[C@]4(O3)[C@@H]2C[C@@H]1[C@@]5(COC(=O)c1cc(OC)c(OC)c(OC)c1)C(=O)OC
113,CHEMBL592603,500.0,nM,C/C=C1/CN2[C@@H]3C[C@@]45c6cc(OC)ccc6N(C)[C@]4(O3)[C@@H]2C[C@@H]1[C@@]5(COC(=O)c1ccc(OC)c(OC)c1)C(=O)OC
114,CHEMBL540945,2000.0,nM,C/C=C1/CN2[C@@H]3C[C@@]45c6cc(OC)ccc6N(C)[C@]4(O3)[C@@H]2C[C@@H]1[C@@]5(COC(=O)c1cc(OC)c(OC)c(OC)c1)C(=O)OC
115,CHEMBL589220,1000.0,nM,C/C=C1/CN2[C@@H]3C[C@@]45c6cc(OC)ccc6N(C)[C@]4(O3)[C@@H]2C[C@@H]1[C@@]5(COC(=O)c1ccccc1)C(=O)OC
116,CHEMBL602442,7000.0,nM,C/C=C1/CN2[C@@H]3C[C@@]45c6cc(O)ccc6N(C)[C@]4(O3)[C@@H]2C[C@@H]1[C@@]5(COC(=O)c1cc(O)c(O)c(O)c1)C(=O)OC
117,CHEMBL602443,35000.0,nM,C/C=C1/C[N+]2([O-])[C@@H]3C[C@@]45c6cc(OC)ccc6N(C)[C@]4(O3)[C@@H]2C[C@@H]1[C@@]5(COC(=O)c1ccc(OC)c(OC)c1)C(=O)OC
118,CHEMBL602444,11000.0,nM,C/C=C1/C[N+]2([O-])[C@@H]3C[C@@]45c6cc(OC)ccc6N(C)[C@]4(O3)[C@@H]2C[C@@H]1[C@@]5(COC(=O)c1cc(OC)c(OC)c(OC)c1)C(=O)OC
119,CHEMBL589254,1000.0,nM,C/C=C1/CN2[C@@H]3C[C@@]45c6cc(OC)ccc6N(C)[C@]4(O3)[C@@H]2C[C@@H]1[C@@]5(COC(=O)/C=C/c1ccccc1)C(=O)OC
120,CHEMBL590530,78000.0,nM,C/C=C1/CN2[C@@H]3C[C@@]45c6cc(OC)ccc6N(C)[C@]4(O3)[C@@H]2C[C@@H]1[C@@]5(COC(C)=O)C(=O)OC
121,CHEMBL601712,12000.0,nM,C/C=C1/CN2[C@@H]3C[C@@]45c6cc(OC)ccc6N(C)[C@]4(O3)[C@@H]2C[C@@H]1[C@@]5(COC(=O)CC)C(=O)OC
122,CHEMBL270766,6.25,nM,COc1ccc(Cc2ccccc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1
123,CHEMBL591954,6910.0,nM,CCCc1nnc(Cc2cccc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2)s1
124,CHEMBL589532,1420.0,nM,OC[C@H]1O[C@H](c2cccc(Cc3nnc(-c4ccccc4)s3)c2)[C@H](O)[C@@H](O)[C@@H]1O
125,CHEMBL591936,1230.0,nM,OC[C@H]1O[C@H](c2cccc(Cc3nnc(-c4cccnc4)s3)c2)[C@H](O)[C@@H](O)[C@@H]1O
